ID,LTSTDUPD,Category,Brand,Product_Name,Color,Price,Qty,Package,Terms,,Language,Remarks
1More Piston Fit In-Ear Headphones E1009 Grey Global,27-Nov,MCA,1More,Piston Fit In-Ear Headphones E1009,Grey,5,,Global,2 Days Booking,  ,,
1More Piston Fit In-Ear Headphones E1009 Pink Global,27-Nov,MCA,1More,Piston Fit In-Ear Headphones E1009,Pink,5,,Global,2 Days Booking,  ,,
1More Piston Fit In-Ear Headphones E1009 Silver,27-Nov,MCA,1More,Piston Fit In-Ear Headphones E1009,Silver,5,,,,  ,,N
"1More Stylish Bluetooth In-Ear Headphones Black Global, E1024BT",27-Nov,MCA,1More,Stylish Bluetooth In-Ear Headphones,Black,25.9,,"Global, E1024BT",2 Days Booking,  ,,
"1More Stylish Bluetooth In-Ear Headphones Gold Global, E1024BT",27-Nov,MCA,1More,Stylish Bluetooth In-Ear Headphones,Gold,25.9,,"Global, E1024BT",2 Days Booking,  ,,
"1More Stylish Bluetooth In-Ear Headphones Green Global, E1024BT",27-Nov,MCA,1More,Stylish Bluetooth In-Ear Headphones,Green,25.9,,"Global, E1024BT",2 Days Booking,  ,,
"1More Stylish Bluetooth In-Ear Headphones Pink Global, E1024BT",27-Nov,MCA,1More,Stylish Bluetooth In-Ear Headphones,Pink,25.9,,"Global, E1024BT",2 Days Booking,  ,,
ACA Air Fryer 2.5L ALY-KZ250D White,8-Dec,,ACA,Air Fryer 2.5L ALY-KZ250D,White,109.7,,,,  ,,N
ACA Coffee Machine ALY-12KF05J Red,8-Dec,,ACA,Coffee Machine ALY-12KF05J,Red,41.3,,,,  ,,N
ACA Electric Oven 12L ALY-12KX13J Green,8-Dec,,ACA,Electric Oven 12L ALY-12KX13J,Green,70.4,,,,  ,,N
ACA Electric Oven 23L ALY-23KX09J Green,8-Dec,,ACA,Electric Oven 23L ALY-23KX09J,Green,80.7,,,,  ,,N
ACA Food Cleaning Machine 9L ALY-XD10 White,8-Dec,,ACA,Food Cleaning Machine 9L ALY-XD10,White,129.1,,,,  ,,N
ACA Multifunctional Coffee Machine 0.7L ALY-KF070D Silver,8-Dec,,ACA,Multifunctional Coffee Machine 0.7L ALY-KF070D,Silver,38.1,,,,  ,,N
ACA Multifunctional Egg Beater ALY-10JB00J Red,8-Dec,,ACA,Multifunctional Egg Beater ALY-10JB00J,Red,32.3,,,,  ,,N
ACA Multifunctional Egg Beater ALY-20JB01J Red,8-Dec,,ACA,Multifunctional Egg Beater ALY-20JB01J,Red,60.7,,,,  ,,N
ACA Multifunctional Electric Boiler 3.8L 1300W ALY-38HG11J White,8-Dec,,ACA,Multifunctional Electric Boiler 3.8L 1300W ALY-38HG11J,White,70.4,,,,  ,,N
ACA Multifunctional Electric Oven 10L ALY-12KX06J Pink,8-Dec,,ACA,Multifunctional Electric Oven 10L ALY-12KX06J,Pink,44.6,,,,  ,,N
ACA Sandwich Maker ALY-75DB07J Pink,8-Dec,,ACA,Sandwich Maker ALY-75DB07J,Pink,31.7,,,,  ,,N
ACA Wireless Vacuum Cleaner ALY-06CM01J White,8-Dec,,ACA,Wireless Vacuum Cleaner ALY-06CM01J,White,51,,,,  ,,N
ADATA Micro sd card 8g retailing class 4,4-Jun,MCA,ADATA,Micro sd card 8g retailing class 4,,3.4,,,MOQ: 5,  ,,
AKG K374BT High-Performance Bluetooth Stereo In-Ear Headset Red,11-Dec,MCA,AKG,K374BT High-Performance Bluetooth Stereo In-Ear Headset,Red,18.8,,,,  ,,
Amazon Cloud Cam Security Camera,6-Nov,MCA,Amazon,Cloud Cam Security Camera,,50.4,,,,  ,,
Amazon Echo Dot (3rd Gen) Speaker Charcoal,21-Dec,HA,Amazon,Echo Dot (3rd Gen) Speaker,Charcoal,29.7,,,,  ,,
Amazon Echo Dot (3rd Gen) Speaker Grey,21-Dec,HA,Amazon,Echo Dot (3rd Gen) Speaker,Grey,29.7,,,,  ,,
Amazon Echo Dot (3rd Gen) Speaker Sandstone (White),21-Dec,HA,Amazon,Echo Dot (3rd Gen) Speaker,Sandstone (White),29.7,,,,  ,,
Amazon Echo Dot (4th Gen) Smart Speaker With Alexa Blue,21-Dec,HA,Amazon,Echo Dot (4th Gen) Smart Speaker With Alexa,Blue,42.6,,,,  ,,
Amazon Echo Dot (4th Gen) Smart Speaker With Alexa Charcoal,21-Dec,HA,Amazon,Echo Dot (4th Gen) Smart Speaker With Alexa,Charcoal,42.6,,,,  ,,
Amazon Echo Dot (4th Gen) Smart Speaker With Alexa White,21-Dec,HA,Amazon,Echo Dot (4th Gen) Smart Speaker With Alexa,White,42.6,,,,  ,,
Amazon Echo Flex Mini Smart Speaker,21-Dec,HA,Amazon,Echo Flex Mini Smart Speaker,,21.3,,,,  ,,
Amazon Echo Look Smart Assistant,21-Dec,MCA,Amazon,Echo Look Smart Assistant,,50.4,,,,  ,,
Amazon Echo Plus (2nd Generation) Speaker Charcoal,21-Dec,HA,Amazon,Echo Plus (2nd Generation) Speaker,Charcoal,85.2,,,,  ,,
Amazon Echo Plus (2nd Generation) Speaker Sandstone,21-Dec,HA,Amazon,Echo Plus (2nd Generation) Speaker,Sandstone,85.2,,,,  ,,
Amazon Echo Show 5 inch Smart Display With Alexa Charcoal,15-Dec,MPT,Amazon,Echo Show 5 inch Smart Display With Alexa,Charcoal,54.9,,,,  ,,
Amazon Fire 7 Kids Edition 16GB Tablet Blue,10-Dec,MCA,Amazon,Fire 7 Kids Edition 16GB Tablet,Blue,76.2,,,,  ,,
Amazon Fire 7 Kids Edition 16GB Tablet Pink,10-Dec,MCA,Amazon,Fire 7 Kids Edition 16GB Tablet,Pink,76.2,,,,  ,,
Amazon Fire 7 Kids Edition 16GB Tablet Purple,10-Dec,MCA,Amazon,Fire 7 Kids Edition 16GB Tablet,Purple,76.2,,,,  ,,
Amazon Fire HD 10 32GB Tablet Black,9-Dec,MCA,Amazon,Fire HD 10 32GB Tablet,Black,102.6,,,,  ,,
Amazon Fire HD 10 32GB Tablet Blue,21-Dec,MCA,Amazon,Fire HD 10 32GB Tablet,Blue,102.6,,,,  ,,
Amazon Fire HD 10 32GB Tablet Plum,9-Dec,MCA,Amazon,Fire HD 10 32GB Tablet,Plum,102.6,,,,  ,,
Amazon Fire HD 10 32GB Tablet White,9-Dec,MCA,Amazon,Fire HD 10 32GB Tablet,White,102.6,,,,  ,,
Amazon Fire HD 8 (2020) 32GB Tablet Black,21-Dec,MPT,Amazon,Fire HD 8 (2020) 32GB Tablet,Black,71,,,,  ,,
Amazon Fire HD 8 (2020) 32GB Tablet Blue,21-Dec,MPT,Amazon,Fire HD 8 (2020) 32GB Tablet,Blue,71,,,,  ,,
Amazon Fire HD 8 (2020) 32GB Tablet Plum,21-Dec,MCA,Amazon,Fire HD 8 (2020) 32GB Tablet,Plum,71,,,,  ,,
Amazon Fire HD 8 (2020) 32GB Tablet White,21-Dec,MPT,Amazon,Fire HD 8 (2020) 32GB Tablet,White,71,,,,  ,,
Amazon Fire HD 8 Kids Edition 32GB Tablet Blue,14-Dec,MCA,Amazon,Fire HD 8 Kids Edition 32GB Tablet,Blue,99.9,,,,  ,,
Amazon Fire HD 8 Kids Edition 32GB Tablet Pink,21-Dec,MCA,Amazon,Fire HD 8 Kids Edition 32GB Tablet,Pink,99.9,,,,  ,,
Amazon Fire HD 8 Kids Edition 32GB Tablet Purple,21-Dec,MCA,Amazon,Fire HD 8 Kids Edition 32GB Tablet,Purple,99.9,,,,  ,,
Amazon Fire TV Cube,21-Dec,HA,Amazon,Fire TV Cube,,111.7,,,,  ,,
Amazon Fire TV Stick 4K Streaming Media Player,21-Dec,HA,Amazon,Fire TV Stick 4K Streaming Media Player,,39.9,,,,  ,,
Amazon Fire TV Stick Lite,21-Dec,HA,Amazon,Fire TV Stick Lite,,28.4,,,,  ,,
Amazon Fire TV Stick Streaming Media Player 2019,21-Dec,HA,Amazon,Fire TV Stick Streaming Media Player 2019,,31.7,,,,  ,,
Amazon Fire TV Stick Streaming Media Player 2020,21-Dec,HA,Amazon,Fire TV Stick Streaming Media Player 2020,,38.8,,,,  ,,
Amazon Kindle 2019 8GB Black,15-Dec,MCA,Amazon,Kindle 2019 8GB,Black,71,,,,  ,,
Amazon Kindle 2019 8GB White,21-Dec,MCA,Amazon,Kindle 2019 8GB,White,70.4,,,,  ,,
Amazon Kindle 2019 Kid Edition Blue,16-Dec,MPT,Amazon,Kindle 2019 Kid Edition,Blue,93.6,,,,  ,,
Amazon Kindle 2019 Kid Edition Pink,16-Dec,,Amazon,Kindle 2019 Kid Edition,Pink,93.6,,,,  ,,N
Amazon Kindle Oasis 32GB E-reader,21-Dec,MCA,Amazon,Kindle Oasis 32GB E-reader,,238.1,,,,  ,,
Amazon Kindle Oasis 8GB E-reader Black,21-Dec,MCA,Amazon,Kindle Oasis 8GB E-reader,Black,207.1,,,,  ,,
Amazon Kindle Paperwhite 2018 6 inch Wifi 32GB Black,14-Dec,MCA,Amazon,Kindle Paperwhite 2018 6 inch Wifi 32GB,Black,119.9,,,,  ,,
